S1 Distance from wall,S2 Distance from wall
42.8084,22.7472
40.2395,40.9298
46.0241,13.8898
20.085,39.5703
17.4999,29.9286
26.4829,33.2992
21.4153,28.103
47.8503,46.2288
33.607,37.2784
11.3721,32.3136
5.73353,15.9299
11.1754,41.188
12.0506,23.0425
10.8406,9.8964
49.9516,14.8216
28.082,42.76
32.5688,18.3214
33.6898,28.5929
27.2112,48.7749
18.1633,39.7111
28.7035,39.6461
23.0103,45.1188
17.7492,20.8606
41.3476,46.3562
8.13899,47.7197
28.6698,8.87251
13.6496,34.8452
45.0605,20.7002
7.88771,5.90104
25.5966,7.83931
15.7226,48.6785
45.5994,43.2914
17,29.2892
21.8843,39.2112
28.0641,35.0476
28.9223,6.76762
24.6937,46.9326
46.8864,37.4429
17.7932,38.234
33.799,20.9322
35.9538,12.4688
24.8047,44.6034
42.314,19.8652
15.3036,45.2018
20.7662,35.9001
48.0411,31.4888
34.5787,43.6404
24.7802,46.5786
22.9296,41.6645
35.7898,45.9937
26.7121,14.7121
47.7614,46.4058
11.6447,44.6478
33.8486,24.4379
32.8818,17.6477
40.3701,18.8356
25.1165,15.1748
13.439,17.4306
30.04,23.7426
12.6323,45.8062
9.6427,10.6734
27.295,39.2214
49.3138,47.0752
35.8,22.2435
38.7397,21.5899
18.2372,15.4518
31.302,15.9986
11.8575,37.9467
10.6464,40.7062
12.3846,38.5282
8.35384,47.7547
7.36382,28.4704
12.9295,15.8028
40.9009,37.9694
34.5454,48.5332
33.7756,39.1881
9.20662,11.0706
28.4095,8.52045
8.14579,14.2095
25.7639,41.8855
30.7993,39.0011
7.33725,12.1013
49.9997,14.1948
45.048,10.6461
49.901,7.43259
44.1743,8.2548
5.18727,46.5381
31.7251,13.1168
12.3409,22.6261
46.0862,41.8863
21.1593,29.8618
31.0743,25.3659
35.9324,9.4838
28.8864,39.0782
18.6933,49.6503
30.9637,44.4926
38.6514,33.3009
6.59394,38.6511
42.4957,46.6419
44.2972,42.3967
49.0745,38.4715
45.6515,49.2618
35.0096,27.3766
12.3786,42.3505
45.0027,8.46476
34.2368,16.162
33.3266,15.3112
36.5279,19.259
19.795,15.4143
8.33724,33.4883
15.0645,34.3009
27.9809,48.716
17.6019,29.5748
37.3671,10.0976
26.2168,31.6643
47.4943,25.2913
20.1358,43.1458
24.5531,5.14542
20.5224,31.9317
42.4959,15.5251
35.3964,26.7328
26.6871,18.723
37.0439,13.215
32.982,6.83889
23.6293,36.3193
35.3271,33.6938
