Angle,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction,M1 Ticks,M2 Ticks,M3 Ticks,M4 Ticks,Direction
33.771908,1125.730347,1125.730347,1125.730347,1125.730347,clockwise,0,0,923.455200,923.455200,counterclockwise
1.318182,43.939404,43.939404,43.939404,43.939404,counterclockwise,0,0,1303.733398,1303.733398,clockwise
46.968708,1565.623779,1565.623779,1565.623779,1565.623779,clockwise,0,0,2051.214355,2051.214355,counterclockwise
33.005104,1100.170166,1100.170166,1100.170166,1100.170166,counterclockwise,0,0,1262.417114,1262.417114,counterclockwise
22.504400,750.146729,750.146729,750.146729,750.146729,counterclockwise,0,0,1591.562134,1591.562134,counterclockwise
12.801221,426.707397,426.707397,426.707397,426.707397,counterclockwise,0,0,447.811005,447.811005,counterclockwise
12.567453,418.915131,418.915131,418.915131,418.915131,counterclockwise,0,0,1093.037964,1093.037964,counterclockwise
3.093914,103.130478,103.130478,103.130478,103.130478,clockwise,0,0,2066.315186,2066.315186,clockwise
6.977373,232.579117,232.579117,232.579117,232.579117,counterclockwise,0,0,459.257324,459.257324,clockwise
34.917995,1163.933228,1163.933228,1163.933228,1163.933228,counterclockwise,0,0,2371.777832,2371.777832,counterclockwise
18.772373,625.745850,625.745850,625.745850,625.745850,counterclockwise,0,0,3089.703125,3089.703125,counterclockwise
45.013355,1500.445312,1500.445312,1500.445312,1500.445312,counterclockwise,0,0,2396.822754,2396.822754,counterclockwise
20.123259,670.775330,670.775330,670.775330,670.775330,counterclockwise,0,0,2285.388672,2285.388672,counterclockwise
1.802747,60.091557,60.091557,60.091557,60.091557,clockwise,0,0,2559.669922,2559.669922,counterclockwise
49.505093,1650.169922,1650.169922,1650.169922,1650.169922,clockwise,0,0,1932.573975,1932.573975,counterclockwise
26.071728,869.057678,869.057678,869.057678,869.057678,counterclockwise,0,0,244.207260,244.207260,counterclockwise
25.404421,846.814087,846.814087,846.814087,846.814087,clockwise,0,0,1486.965576,1486.965576,counterclockwise
9.642577,321.419250,321.419250,321.419250,321.419250,clockwise,0,0,179.157623,179.157623,counterclockwise
35.709255,1190.308594,1190.308594,1190.308594,1190.308594,counterclockwise,0,0,355.080963,355.080963,counterclockwise
35.689228,1189.640991,1189.640991,1189.640991,1189.640991,counterclockwise,0,0,1507.095581,1507.095581,counterclockwise
20.040197,668.006653,668.006653,668.006653,668.006653,counterclockwise,0,0,165.075424,165.075424,counterclockwise
36.389431,1212.981079,1212.981079,1212.981079,1212.981079,counterclockwise,0,0,889.956299,889.956299,counterclockwise
5.921339,197.377960,197.377960,197.377960,197.377960,counterclockwise,0,0,1559.820312,1559.820312,counterclockwise
9.478586,315.952911,315.952911,315.952911,315.952911,counterclockwise,0,0,1444.821289,1444.821289,clockwise
52.841434,1761.381226,1761.381226,1761.381226,1761.381226,counterclockwise,0,0,2783.430176,2783.430176,counterclockwise
33.422192,1114.073120,1114.073120,1114.073120,1114.073120,clockwise,0,0,2690.035889,2690.035889,counterclockwise
35.243008,1174.766968,1174.766968,1174.766968,1174.766968,counterclockwise,0,0,2081.797607,2081.797607,counterclockwise
39.078098,1302.603394,1302.603394,1302.603394,1302.603394,clockwise,0,0,1184.087524,1184.087524,counterclockwise
3.788840,126.294670,126.294670,126.294670,126.294670,clockwise,0,0,3068.375000,3068.375000,counterclockwise
30.622601,1020.753418,1020.753418,1020.753418,1020.753418,clockwise,0,0,2821.586914,2821.586914,counterclockwise
47.689579,1589.652710,1589.652710,1589.652710,1589.652710,counterclockwise,0,0,1817.855103,1817.855103,counterclockwise
4.399416,146.647232,146.647232,146.647232,146.647232,clockwise,0,0,1692.313843,1692.313843,clockwise
22.276627,742.554260,742.554260,742.554260,742.554260,counterclockwise,0,0,1655.211426,1655.211426,counterclockwise
30.010042,1000.334839,1000.334839,1000.334839,1000.334839,counterclockwise,0,0,1033.322998,1033.322998,counterclockwise
13.104519,436.817322,436.817322,436.817322,436.817322,counterclockwise,0,0,246.486420,246.486420,counterclockwise
36.446548,1214.885010,1214.885010,1214.885010,1214.885010,clockwise,0,0,2958.038574,2958.038574,counterclockwise
36.550491,1218.349854,1218.349854,1218.349854,1218.349854,counterclockwise,0,0,675.619019,675.619019,counterclockwise
17.473642,582.454773,582.454773,582.454773,582.454773,clockwise,0,0,947.659729,947.659729,clockwise
34.269966,1142.332275,1142.332275,1142.332275,1142.332275,counterclockwise,0,0,1554.218140,1554.218140,counterclockwise
23.214857,773.828613,773.828613,773.828613,773.828613,clockwise,0,0,1154.548218,1154.548218,counterclockwise
38.056145,1268.538208,1268.538208,1268.538208,1268.538208,clockwise,0,0,2232.141846,2232.141846,counterclockwise
33.424068,1114.135742,1114.135742,1114.135742,1114.135742,counterclockwise,0,0,661.486084,661.486084,counterclockwise
36.808346,1226.944946,1226.944946,1226.944946,1226.944946,clockwise,0,0,1290.402832,1290.402832,counterclockwise
44.903946,1496.798340,1496.798340,1496.798340,1496.798340,counterclockwise,0,0,1871.203857,1871.203857,counterclockwise
26.770061,892.335449,892.335449,892.335449,892.335449,counterclockwise,0,0,1175.684082,1175.684082,counterclockwise
28.888277,962.942627,962.942627,962.942627,962.942627,clockwise,0,0,189.559921,189.559921,clockwise
16.807787,560.259583,560.259583,560.259583,560.259583,counterclockwise,0,0,582.978333,582.978333,clockwise
36.003719,1200.124023,1200.124023,1200.124023,1200.124023,counterclockwise,0,0,664.605713,664.605713,counterclockwise
31.985586,1066.186279,1066.186279,1066.186279,1066.186279,counterclockwise,0,0,900.231323,900.231323,counterclockwise
18.785261,626.175415,626.175415,626.175415,626.175415,counterclockwise,0,0,737.180115,737.180115,clockwise
21.802052,726.735107,726.735107,726.735107,726.735107,clockwise,0,0,1946.515991,1946.515991,counterclockwise
